Ns,es,bs
2,0.18832153720798492,3.33063077816466
3,0.02753112595574122,1.2804649020648613
4,0.003120441102461454,0.34332393315260507
5,0.00031425190406353387,0.08743448390195761
6,2.5358500856054178e-5,0.02291778993510726
7,1.8044173043459894e-6,0.005453903959038682
8,1.3920752720693916e-7,0.0014028998027030204
9,1.0061058982384614e-8,0.0003252892171182449
10,6.02984735761064e-10,6.71729025912538e-5
11,3.252897436485973e-11,1.4329767072738615e-5
12,1.335873561535765e-12,2.9985175959239712e-6
13,6.518232375994897e-14,5.241232151077079e-7
14,5.538644905566268e-14,9.312703100550837e-8
15,2.1386501988095476e-14,1.675872243512723e-8
16,3.1131776347101914e-14,2.7063547912841064e-9
