Ns,es0,es1,es2,ts0,ts1,ts2
2,0.013247604411952564,0.013356909827434506,0.013356909827434501,0.20058299999999998,0.114061,0.11462
3,0.002083972480214703,0.002164080001881109,0.0021640800018811143,0.25551999999999997,0.170064,0.170815
4,0.0003251587725855403,0.00034658014330607304,0.0003465801433060706,0.326241,0.24617299999999998,0.24554399999999998
5,5.024945691196224e-5,5.489116637332243e-5,5.4891166373330504e-5,0.522543,0.434583,0.44029799999999997
6,8.079464789067778e-6,8.976374043207145e-6,8.97637404321484e-6,0.589235,0.443424,0.44035599999999997
7,1.3146451358231335e-6,1.4654555919605273e-6,1.4654555919627029e-6,0.572844,0.511826,0.506398
8,2.1023052635247968e-7,2.3190839892779182e-7,2.3190839893648468e-7,0.48058199999999995,0.369616,0.367868
9,3.401959973361518e-8,3.6592130434173514e-8,3.659213042624407e-8,0.577522,0.496309,0.48116499999999995
10,6.1242162019524045e-9,6.367559997367142e-9,6.3675600023916834e-9,0.6381899999999999,0.5320509999999999,0.5184059999999999
11,1.0686223743198434e-9,1.0600084789396607e-9,1.0600084840976596e-9,0.610072,0.5171439999999999,0.502375
12,1.8237610412733778e-10,1.763918188995287e-10,1.7639180031237264e-10,0.6593289999999999,0.559137,0.551986
13,7.74026424897423e-11,7.702008582904271e-11,7.70200511542568e-11,0.716523,0.569778,0.56512
14,9.563646091580943e-11,9.567688331331827e-11,9.56768766500074e-11,0.684955,0.615467,0.638056
